timestamp,signal,ibit_price,btc_price,nav_estimate,spread_bps,pnl_usd
2026-07-09T14:36:27.942627,CREATE,50.1122,85008.98,49.9853,14.65,2936.88
2026-07-09T14:36:29.003190,CREATE,50.1301,84930.51,49.9391,27.49,5513.21
2026-07-09T14:36:30.006962,REDEEM,49.7131,84877.15,49.9078,28.22,5611.95
2026-07-09T14:36:31.009715,CREATE,49.9660,84755.78,49.8364,15.25,3047.49
2026-07-09T14:36:32.012484,CREATE,50.4077,84935.28,49.9419,82.54,16642.62
2026-07-09T14:36:35.045605,CREATE,49.9104,84698.70,49.8028,10.84,2163.81
2026-07-09T14:36:36.048190,CREATE,50.0433,84693.44,49.7997,38.17,7639.99
2026-07-09T14:36:38.050994,CREATE,50.0120,84873.49,49.9056,10.57,2114.83
2026-07-09T14:36:40.083328,REDEEM,49.7455,84980.33,49.9684,33.84,6733.67
2026-07-09T14:36:41.085524,CREATE,49.9570,84779.59,49.8504,10.63,2123.23
2026-07-09T14:36:42.089610,CREATE,50.0766,84799.77,49.8623,32.23,6456.66
2026-07-09T15:03:30.919790,REDEEM,49.7164,84845.86,49.8894,23.89,4751.72
2026-07-09T15:03:32.978464,REDEEM,49.7512,84800.55,49.8627,11.60,2307.55
2026-07-09T15:03:33.981009,REDEEM,49.7197,84888.69,49.9146,28.26,5620.71
2026-07-09T15:03:34.983272,CREATE,50.0822,84875.60,49.9069,24.39,4886.72
2026-07-09T15:03:37.021168,REDEEM,49.7689,84818.69,49.8734,10.17,2025.06
2026-07-09T15:03:40.024145,REDEEM,49.6767,84800.28,49.8626,26.50,5265.23
2026-07-09T15:03:42.073223,CREATE,50.0252,84794.48,49.8592,22.56,4514.49
2026-07-09T15:03:44.076303,REDEEM,49.5757,84660.52,49.7804,30.32,6012.86
2026-07-09T15:03:46.078788,CREATE,49.9259,84683.37,49.7938,15.76,3147.93
2026-07-09T15:03:47.114821,CREATE,49.8854,84514.02,49.6942,27.70,5527.51
2026-07-09T15:03:49.117858,CREATE,49.6740,84224.22,49.5238,19.53,3880.90
2026-07-09T15:03:50.121657,REDEEM,49.3224,84098.72,49.4500,14.99,2958.13
2026-07-09T15:03:51.124161,CREATE,49.6636,84061.22,49.4280,36.89,7327.79
2026-07-09T15:03:52.166079,CREATE,49.6373,84077.65,49.4377,29.59,5875.52
2026-07-09T15:03:55.169819,CREATE,49.5777,84023.03,49.4055,24.05,4768.73
2026-07-09T15:03:56.172441,CREATE,49.6998,84065.25,49.4304,43.73,8693.62
2026-07-09T15:03:59.210257,CREATE,49.7498,84333.29,49.5880,21.86,4351.03
2026-07-09T15:04:00.212885,REDEEM,49.1781,84313.43,49.5763,69.50,13670.80
2026-07-09T15:04:01.216483,CREATE,49.6398,84221.13,49.5220,13.01,2582.44
2026-07-09T15:04:02.258568,CREATE,49.7548,84338.29,49.5909,22.28,4434.26
2026-07-09T15:04:03.261537,REDEEM,49.4071,84392.18,49.6226,32.62,6446.56
2026-07-27T13:37:57.110770,CREATE,50.1444,85096.29,50.0366,10.81,2167.63
2026-07-27T13:38:02.194197,REDEEM,49.9646,85165.06,50.0771,11.71,2339.66
2026-07-27T13:38:03.251918,CREATE,50.2791,85266.75,50.1368,17.65,3549.71
2026-07-27T13:38:04.255617,REDEEM,49.8669,85054.84,50.0122,18.29,3648.91
2026-07-27T13:38:05.258245,CREATE,50.1690,85059.92,50.0152,20.02,4017.10
2026-07-27T13:38:09.305995,CREATE,50.3058,85354.34,50.1884,12.69,2552.84
2026-07-27T13:38:12.310050,REDEEM,49.9807,85194.49,50.0944,11.94,2387.23
2026-07-27T13:38:14.349535,REDEEM,50.0047,85240.74,50.1216,12.56,2512.33
2026-07-27T13:38:16.352367,REDEEM,49.8503,85146.82,50.0663,32.37,6455.58
2026-07-27T13:38:18.403179,CREATE,50.2138,85109.59,50.0444,23.11,4641.63
2026-07-27T13:38:19.406023,REDEEM,49.7695,85134.39,50.0590,47.07,9369.63
2026-07-27T13:38:20.408917,REDEEM,49.9716,85232.39,50.1166,18.19,3635.56
2026-07-27T13:52:23.556934,CREATE,50.2164,85107.25,50.0431,23.90,4801.66
2026-07-27T13:52:25.559854,REDEEM,49.8967,85169.83,50.0799,25.81,5152.04
2026-07-27T13:52:27.562867,REDEEM,49.9032,85478.18,50.2612,60.46,12068.37
