timestamp,signal,arkb_price,btc_price,nav_estimate,spread_bps,pnl_usd
2026-04-17T20:38:08.091Z,REDEEM,88.9763,84965.37,89.2136,18.92,8415.04
2026-04-17T20:38:09.093Z,CREATE,89.4258,84985.72,89.2350,13.70,6127.00
2026-04-17T22:57:01.430Z,CREATE,25.7150,77373.76,23.4442,945.08,12151.30
2026-04-17T22:57:02.077Z,CREATE,25.7150,77373.75,23.4442,945.08,12151.32
2026-04-17T22:57:03.078Z,CREATE,25.7150,77370.01,23.4431,945.61,12158.14
2026-04-17T22:57:04.080Z,CREATE,25.7150,77370.01,23.4431,945.61,12158.14
2026-04-17T22:57:05.080Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:06.081Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:07.083Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:08.084Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:09.085Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:10.086Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:11.169Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:12.087Z,CREATE,25.7150,77370.00,23.4431,945.61,12158.16
2026-04-17T22:57:13.089Z,CREATE,25.7150,77358.00,23.4395,947.31,12180.04
2026-04-17T22:57:14.090Z,CREATE,25.7150,77358.01,23.4395,947.31,12180.02
2026-04-17T22:57:15.091Z,CREATE,25.7150,77358.00,23.4395,947.31,12180.04
2026-04-17T22:57:16.092Z,CREATE,25.7150,77344.22,23.4353,949.26,12205.17
2026-04-17T22:57:17.093Z,CREATE,25.7150,77354.15,23.4383,947.86,12187.06
2026-04-17T22:57:18.094Z,CREATE,25.7150,77348.06,23.4365,948.72,12198.16
2026-04-17T22:57:19.095Z,CREATE,25.7150,77348.05,23.4365,948.72,12198.18
2026-04-17T22:57:20.095Z,CREATE,25.7150,77348.06,23.4365,948.72,12198.16
2026-04-17T22:57:21.189Z,CREATE,25.7150,77348.05,23.4365,948.72,12198.18
2026-04-17T22:57:22.097Z,CREATE,25.7150,77348.05,23.4365,948.72,12198.18
2026-04-17T22:57:23.099Z,CREATE,25.7150,77348.06,23.4365,948.72,12198.16
2026-04-17T22:57:24.100Z,CREATE,25.7150,77348.06,23.4365,948.72,12198.16
2026-04-17T22:57:25.101Z,CREATE,25.7150,77348.06,23.4365,948.72,12198.16
2026-04-17T22:57:26.101Z,CREATE,25.7150,77348.05,23.4365,948.72,12198.18
2026-04-17T22:57:27.103Z,CREATE,25.7150,77348.05,23.4365,948.72,12198.18
2026-04-17T22:57:28.103Z,CREATE,25.7150,77348.05,23.4365,948.72,12198.18
2026-04-17T22:57:29.104Z,CREATE,25.7150,77348.05,23.4365,948.72,12198.18
2026-04-17T22:57:30.105Z,CREATE,25.7150,77348.06,23.4365,948.72,12198.16
2026-04-17T23:02:36.835Z,CREATE,25.8713,85092.48,25.7830,10.86,140.53
2026-04-17T23:02:38.837Z,REDEEM,25.6758,85071.91,25.7768,15.66,201.07
2026-04-17T23:02:44.838Z,REDEEM,25.6316,84918.79,25.7304,14.85,190.27
